subject,trial_type,trial_subtype,trial_num,time_datetime,waist Acceleration X (m/s^2)_mean,waist Acceleration Y (m/s^2)_mean,waist Acceleration Z (m/s^2)_mean,waist Acceleration X (m/s^2)_variance,waist Acceleration Y (m/s^2)_variance,waist Acceleration Z (m/s^2)_variance
1,ADLs,AS,trial1,2011-05-07 20:39:05.000,-9.485754260586317,-0.4131507231270357,2.4025901693811083,0.21288220138008193,0.06655381915405705,0.38747315656761144
1,ADLs,AS,trial1,2011-05-07 20:39:07.500,-9.06123550000001,-0.14615873125,-2.56699810625,4.085100521554497,1.4002274933900596,8.418116876425438
1,ADLs,AS,trial1,2011-05-07 20:39:10.000,-9.205294709374998,-0.5830096124999999,-4.060931718750002,7.310128174455083,1.2312308425602065,1.9795148715601154
1,ADLs,AS,trial1,2011-05-07 20:39:12.500,-9.348276196874995,-0.47352470937499974,-2.8222965531250006,7.434103108251667,1.4039550223029154,2.2464061602394203
1,ADLs,AS,trial1,2011-05-07 20:39:15.000,-9.236891368750003,-0.6141203062500005,-2.572828656249998,5.628037722007962,1.4779719328693546,6.185981084842681
1,ADLs,AS,trial1,2011-05-07 20:39:17.500,-9.839800409375002,-0.6995399375000004,0.5064816593749997,5.7396190310275434,1.229906375627018,0.8043665003187521
1,ADLs,AS,trial1,2011-05-07 20:39:20.000,-10.369594000000001,-2.6095319285714287,0.9290110000000001,0.09825479626599994,0.031270713896840704,0.026981304945230752
1,ADLs,AS,trial2,2011-05-07 20:41:05.000,-9.82585321428571,-0.04688618452380952,1.0379506904761902,0.004329830961199327,0.003184776902654371,0.0026538885403946345
1,ADLs,AS,trial2,2011-05-07 20:41:07.500,-9.732713865624998,-0.40937800312500017,-1.641486375,2.3579507601184546,1.383439739252811,3.937455845278987
1,ADLs,AS,trial2,2011-05-07 20:41:10.000,-9.102346387499995,-0.734479790625,-3.8208467656250016,6.590778797790759,1.8019348447180543,2.016086103520632
1,ADLs,AS,trial2,2011-05-07 20:41:12.500,-9.026081040625007,-0.5463379093749998,-3.887364700000004,7.515760908364909,1.4359203478121452,2.686181260386649
1,ADLs,AS,trial2,2011-05-07 20:41:15.000,-8.418556003125001,-0.4433386031250001,-4.649392162499999,4.8271266025231085,1.2951861662806603,4.440832092389376
1,ADLs,AS,trial2,2011-05-07 20:41:17.500,-8.80144720625,-1.0545377750000002,-4.434458590625003,5.697462773278954,1.0668422094224443,2.597828107065641
1,ADLs,AS,trial2,2011-05-07 20:41:20.000,-9.719411999999995,-0.9670343781250009,0.2917207093749999,5.374464317724716,0.7364749609875707,2.102499395362521
1,ADLs,AS,trial2,2011-05-07 20:41:22.500,-9.796507484374999,-0.85929371875,0.8559241656249996,0.016477744180357048,0.011081475160115014,0.009271402870188789
1,ADLs,AS,trial2,2011-05-07 20:41:25.000,-9.811948052287583,-0.7308459281045753,0.7722886274509804,0.0027427905634314002,0.0015880987555408508,0.0014642857484326644
1,ADLs,AS,trial3,2011-05-07 20:43:02.500,-9.843322701195218,-0.36624062948207176,-0.021219717131473963,0.11195146947210702,0.015501046145290175,0.7179307696448112
1,ADLs,AS,trial3,2011-05-07 20:43:05.000,-9.511775881250005,-0.5866132218750002,-2.758232871875,4.17756979638847,1.110081792434494,3.0121076323840805
1,ADLs,AS,trial3,2011-05-07 20:43:07.500,-9.04351995,-0.46586638125000013,-4.092777856250001,7.534162185254767,1.1295519051289942,2.072260550361616
1,ADLs,AS,trial3,2011-05-07 20:43:10.000,-8.768127665625,-0.22470946249999998,-4.055313493750002,5.63273698808242,1.2415834203888003,2.6647107666460643
1,ADLs,AS,trial3,2011-05-07 20:43:12.500,-8.378593999999998,-0.4142851187499999,-5.461599321875001,6.762271874528258,1.4074641584873913,2.816130367956181
1,ADLs,AS,trial3,2011-05-07 20:43:15.000,-8.429705128124999,-0.5119016562499998,-5.090247184375003,5.359102575681588,0.9303725316999698,2.920843380339107
1,ADLs,AS,trial3,2011-05-07 20:43:17.500,-9.174530828124997,-1.0215316093750009,-1.5796555656250018,2.8133641437777537,0.7334136329441945,10.258461297719847
1,ADLs,AS,trial3,2011-05-07 20:43:20.000,-9.747188359374995,-1.0437122687499998,1.2100537968749998,0.05197991059860081,0.016800027084542018,0.03194698406863879
1,ADLs,AS,trial3,2011-05-07 20:43:22.500,-9.75130892857143,-0.8530663999999999,1.0873274999999998,0.015135666533777388,0.004054008503402892,0.007848533022862283
1,ADLs,DS,trial1,2011-05-07 20:39:45.000,-9.796955093525177,-0.2204028201438849,-1.3749217410071934,0.007296883886172018,0.00859925968023553,0.008949687138468653
1,ADLs,DS,trial1,2011-05-07 20:39:47.500,-8.851565121874994,-0.4522049468749996,-3.362165837500001,2.584589459132174,0.4943709385127023,4.565107025568565
1,ADLs,DS,trial1,2011-05-07 20:39:50.000,-7.940752568749995,-0.2224213781250001,-6.380806753125,12.811515687778808,1.1338413936749825,6.353516063004119
